from	to	eweight	consensus_lin	Team Name	Section	Sample Location	Plant Scientific Name	Plant Common Name	Date of collection	Time of collection	Elevation	Type of Biom	Soil Characterization	Longitude	Latitude	pH  Litmus Strip	pH meter CALeDNA	Amount of Leaf Litter	Soil Temperature (Celsius)	Moisture content (%)	Nitrogen content	Potassium content	Phosphate content
S18.K0010A2	Actinobacteria;Acidimicrobiia;NA;NA;NA;bacterium TH3	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp.	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. 2002-112570	2.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Actinomycetales;NA;;Actinomycetales bacterium	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA	7.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;actinomycete 66-5.UGM050509-02	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;actinomycete D10.UGM010817-01	4.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	3.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium poriferae	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp. BM04	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Corynebacteriales;NA;;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp. N07W-1805	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;	4.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Frankiales;NA;;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Frankiales;NA;NA;Frankineae bacterium URHD0048	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya sp.	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;	15.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus sp. I12A-02639	6.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus sp. I12A-02924	2.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus sp. L1961	83.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus sp. URHB0062	2.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;	8.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;	12.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter sp. 14d2-CH09	7.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter sp. I12A-02993	7.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter sp. x11r1	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;NA;	15.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;NA;Geodermatophilaceae bacterium URHB0047	5.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;	170.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter sp.	21.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia sp. 1P06MB	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera sp. I12A-00148	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia sp.	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;	8.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. Bola	3.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. I12A-02677	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. KAR40	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium conglomeratum	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus;Phycicoccus sp. P3721	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Labedella;	2.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium sp. Tianshan44-2	5.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;NA;	12.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;	247.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter crystallopoietes	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. 53TDS	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. CKC31	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. DAB_MOR49	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. JSM 082018	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. SMCC B0613	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. SOZ3-2091	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. ZM06	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria rosea	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;	2.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
S18.K0010A2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter;	1.0		LIT	1B	Skirball	N/A	N/A	1/17/2018	1:00		Chaparral	Burned	34.0948	-118.4729	6.75	6.5	Low	28	5.78%	Low	High	Low
