otu name	16rRNA	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	BAF15	MWPF15	RKF15	BSGF15	WRF15	GNF15	MMF15	
OTU_13	pseudomonas sp. gmfrb033 ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas sp.;superkingdom__bacteria	99.6323529411765	1.46925481342294e-134	482.785774081848			411	7	16	3	1	16	14	
OTU_14	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	98.8929889298893	2.6454523023858e-131	471.965561275181			57	67	116	2	15	50	241	
OTU_15	uncultured solirubrobacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__solirubrobacterales;f__solirubrobacteraceae;g__solirubrobacter;s__solirubrobacter spp.;superkingdom__bacteria;subclass  rubrobacteridae	98.8929889298893	2.6454523023858e-131	471.965561275181			130	94	56	49	15	128	10	
OTU_16	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	98.1549815498155	1.37037821968424e-128	462.948717269625			5	46	169	8	56	44	37	
OTU_17	uncultured kribbella sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardioidaceae;g__kribbella;s__kribbella spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__propionibacterineae	99.2619926199262	6.22150749217035e-133	477.375667678515			161	17	75	0	3	111	5	
OTU_18	deinococcus sp. uac_61 ;k__bacteria;p__deinococcus_thermus;c__deinococci;o__deinococcales;f__deinococcaceae;g__deinococcus;s__deinococcus sp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			11	29	11	45	116	15	9	
OTU_19	piscinibacter sp. 7b_213 ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiales;g__piscinibacter;s__piscinibacter sp.;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			14	78	78	118	39	30	52	
OTU_20	dq768114.1 cystobacter violaceus str. dsm 14727  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__cystobacteraceae;g__cystobacter;s__cystobacter violaceus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__cystobacterineae	99.2619926199262	5.12820319074768e-134	480.982405280737			9	69	13	311	117	34	7	
OTU_21	uncultured thermomonas sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__thermomonas;s__thermomonas spp.;superkingdom__bacteria	98.8929889298893	2.18056748386766e-132	475.572298877403			40	29	75	0	6	71	109	
OTU_22	uncultured rhodopseudomonas sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__rhodopseudomonas;s__rhodopseudomonas spp.;superkingdom__bacteria	100	4.20948551855597e-135	484.589142882959			0	122	14	0	2	21	119	
OTU_23	dq026652.1 streptomyces yokosukanensis str. nrrl b_3353  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__streptomycetaceae;g__streptomyces;s__streptomyces yokosukanensis;superkingdom__bacteria;subclass  actinobacteridae;suborder__streptomycineae	99.2619926199262	5.12820319074768e-134	480.982405280737			76	83	36	3	5	138	5	
OTU_24	uncultured sediminibacterium sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__sediminibacterium;s__sediminibacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	95.9409594095941	1.91279216429875e-120	435.898185252957			0	21	2	200	158	5	0	
OTU_25	ef053038.1 pseudonocardia sp. str. yim 45517  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__pseudonocardiaceae;g__pseudonocardia;s__pseudonocardia halophobica;superkingdom__bacteria;subclass  actinobacteridae;suborder__pseudonocardineae	98.8970588235294	7.61092836058777e-132	473.768930076292			40	47	7	89	80	41	3	
OTU_26	uncultured blastococcus sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__geodermatophilaceae;g__blastococcus;s__blastococcus spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__frankineae	99.2619926199262	5.12820319074768e-134	480.982405280737			2	47	7	53	144	45	0	
OTU_27	uncultured pseudonocardia sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__pseudonocardiaceae;g__pseudonocardia;s__pseudonocardia spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__pseudonocardineae	98.8929889298893	2.65647502031241e-131	471.965561275181			26	19	13	165	30	33	5	
OTU_28	uncultured thiobacillus sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__hydrogenophilales;f__hydrogenophilaceae;g__thiobacillus;s__thiobacillus spp.;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			3	114	54	20	2	46	56	
OTU_29	af227643.1 terrestrial plant root clone trc23_31  ;k__archaea;p__thaumarchaeota;c__thaumarchaeota;o__nitrososphaerales;f__nitrososphaeraceae;g__candidatus nitrososphaera;s__candidatus nitrososphaera;superkingdom__archaea	98.4962406015038	2.02534735078916e-126	455.73524206518			6	77	6	57	108	115	1	
OTU_30	rhodoplanes sp. z2_yc6860 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__rhodoplanes;s__rhodoplanes sp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			73	67	42	29	9	111	22	
OTU_31	uncultured prosthecobacter sp. ;k__bacteria;p__verrucomicrobia;c__verrucomicrobiae;o__verrucomicrobiales;f__verrucomicrobiaceae;g__prosthecobacter;s__prosthecobacter spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	98.1549815498155	1.12956192169823e-129	466.555454871847			2	53	44	92	9	26	4	
OTU_32	af526925.2 mars odyssey orbiter and encapsulation facility clone t6_5 sp.  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__variovorax;s__variovorax paradoxus;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			20	30	19	33	35	51	41	
OTU_33	acidobacteria bacterium a22_hd_4h ;k__bacteria;p__acidobacteria;c__acidobacteria;o__acidobacteria;f__acidobacteria;g__aridibacter;s__acidobacteria bacterium;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	99.2619926199262	5.12820319074768e-134	480.982405280737			3	25	32	47	96	25	6	
OTU_34	phenylobacterium sp. w2.09_62 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__caulobacterales;f__caulobacteraceae;g__phenylobacterium;s__phenylobacterium sp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			39	57	28	16	29	66	44	
OTU_35	uncultured rhodoplanes sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__rhodoplanes;s__rhodoplanes spp.;superkingdom__bacteria	99.2619926199262	6.22150749217035e-133	477.375667678515			70	17	28	2	7	29	37	
OTU_36	uncultured micromonospora sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micromonosporaceae;g__micromonospora;s__micromonospora spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__micromonosporineae	99.6309963099631	4.20948551855597e-135	484.589142882959			18	20	6	67	144	17	4	
OTU_37	uncultured conexibacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__solirubrobacterales;f__conexibacteraceae;g__conexibacter;s__conexibacter spp.;superkingdom__bacteria;subclass  rubrobacteridae	92.9889298892989	1.13056002890659e-110	403.437546832955			54	34	11	15	22	181	5	
OTU_38	uncultured microvirga sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__methylobacteriaceae;g__microvirga;s__microvirga spp.;superkingdom__bacteria	98.5239852398524	3.22282066971442e-130	468.358823672959			3	35	6	122	100	16	2	
OTU_39	uncultured chitinophaga sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__chitinophaga;s__chitinophaga spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.1549815498155	1.37608812893292e-128	462.948717269625			30	24	40	0	0	2	131	
OTU_40	uncultured sphingomonas sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingomonas;s__sphingomonas spp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			7	41	40	2	3	60	73	
OTU_41	af227643.1 terrestrial plant root clone trc23_31  ;k__archaea;p__thaumarchaeota;c__thaumarchaeota;o__nitrososphaerales;f__nitrososphaeraceae;g__candidatus nitrososphaera;s__candidatus nitrososphaera;superkingdom__archaea	98.8636363636364	1.37037821968424e-128	462.948717269625			1	58	7	198	114	22	0	
OTU_42	uncultured rubrobacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__rubrobacterales;f__rubrobacteraceae;g__rubrobacter;s__rubrobacter spp.;superkingdom__bacteria;subclass  rubrobacteridae;suborder__rubrobacterineae	98.5239852398524	3.22282066971442e-130	468.358823672959			1	57	0	75	141	14	1	
OTU_43	uncultured cytophaga sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__cytophaga;s__cytophaga spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.8929889298893	2.18056748386766e-132	475.572298877403			93	30	10	0	0	27	92	
OTU_44	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	97.8021978021978	2.04229586418489e-126	455.73524206518			8	22	58	3	0	37	28	
OTU_45	uncultured pelobacter sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfuromonadales;f__pelobacteraceae;g__pelobacter;s__pelobacter spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions	98.8929889298893	2.18056748386766e-132	475.572298877403			44	12	29	1	0	19	67	
OTU_46	uncultured hyphomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__hyphomicrobium;s__hyphomicrobium spp.;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			106	4	78	0	0	4	25	
OTU_47	uncultured pelobacter sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfuromonadales;f__pelobacteraceae;g__pelobacter;s__pelobacter spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions	98.12734082397	1.66946243851828e-127	459.341979667403			0	24	38	34	128	19	3	
OTU_48	uncultured holophaga sp. ;k__bacteria;p__acidobacteria;c__holophagae;o__holophagales;f__holophagaceae;g__holophaga;s__holophaga spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	99.250936329588	9.19506274704628e-131	470.16219247407			23	59	43	3	9	24	48	
OTU_49	uncultured modestobacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__geodermatophilaceae;g__modestobacter;s__modestobacter spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__frankineae	98.8929889298893	2.6454523023858e-131	471.965561275181			0	38	1	32	71	16	0	
OTU_50	ay970951.1 pseudomonas vranovensis str. 2b2  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas vranovensis;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			191	4	1	15	0	2	2	
OTU_51	azospirillum sp. t2_yc6788 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__azospirillum;s__azospirillum sp.;superkingdom__bacteria	95.9409594095941	1.90485526735146e-120	435.898185252957			52	10	25	0	0	98	30	
OTU_52	uncultured rubellimicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__rhodobacteraceae;g__rubellimicrobium;s__rubellimicrobium spp.;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			0	0	6	32	153	2	0	
OTU_53	actinomycetospora atypica ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__pseudonocardiaceae;g__actinomycetospora;s__actinomycetospora atypica;superkingdom__bacteria;subclass  actinobacteridae;suborder__pseudonocardineae	98.8970588235294	7.61092836058777e-132	473.768930076292			43	19	5	41	41	9	0	
OTU_54	aj294412.1 knoellia sinensis str. dsm 12331 = hki 011  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__intrasporangiaceae;g__knoellia;s__knoellia sinensis;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	99.2619926199262	5.12820319074768e-134	480.982405280737			0	3	9	138	18	3	0	
OTU_55	uncultured myxococcus sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__myxococcaceae;g__myxococcus;s__myxococcus spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__cystobacterineae	97.4169741697417	5.85127561696698e-127	457.538610866291			16	11	1	51	5	79	16	
OTU_56	uncultured flavisolibacter sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__flavisolibacter;s__flavisolibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.2619926199262	5.12820319074768e-134	480.982405280737			0	7	15	65	70	5	0	
OTU_57	uncultured anaeromyxobacter sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__anaeromyxobacteraceae;g__anaeromyxobacter;s__anaeromyxobacter spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__cystobacterineae	97.4169741697417	7.09873492442607e-126	453.931873264069			75	23	23	0	0	6	97	
OTU_58	uncultured nitrosovibrio sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__nitrosomonadaceae;g__nitrosovibrio;s__nitrosovibrio spp.;superkingdom__bacteria	97.0479704797048	7.12831298661118e-126	453.931873264069			64	1	8	0	0	0	137	
OTU_59	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	99.6309963099631	4.20948551855597e-135	484.589142882959			14	28	48	18	5	31	51	
OTU_60	uncultured thiorhodospira sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__chromatiales;f__ectothiorhodospiraceae;g__thiorhodospira;s__thiorhodospira spp.;superkingdom__bacteria	99.6309963099631	4.20948551855597e-135	484.589142882959			39	16	14	0	1	26	91	
OTU_61	uncultured levilinea sp. ;k__bacteria;p__chloroflexi;c__anaerolineae;o__anaerolineales;f__anaerolineaceae;g__levilinea;s__levilinea spp.;superkingdom__bacteria	96.6789667896679	3.03103581025806e-124	448.521766860735			19	42	34	1	1	8	3	
OTU_62	uncultured methylobacterium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__methylobacteriaceae;g__methylobacterium;s__methylobacterium spp.;superkingdom__bacteria	98.5239852398524	3.22282066971442e-130	468.358823672959			2	4	2	40	106	4	0	
OTU_63	eu794908.1 devosia insulae str. a16  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__devosia;s__devosia insulae;superkingdom__bacteria	98.8929889298893	2.6454523023858e-131	471.965561275181			10	21	21	16	27	62	5	
OTU_64	aj537466.1 ottowia thiooxydans str. k11  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__hylemonella;s__hylemonella spp.;superkingdom__bacteria	99.2619926199262	6.19558454428631e-133	477.375667678515			38	53	20	36	31	71	33	
OTU_65	uncultured flavisolibacter sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__flavisolibacter;s__flavisolibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.6309963099631	4.20948551855597e-135	484.589142882959			1	24	20	17	33	15	5	
OTU_66	paracraurococcus sp. 1n_11 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__acetobacteraceae;g__paracraurococcus;s__paracraurococcus sp.;superkingdom__bacteria	99.2619926199262	6.22150749217035e-133	477.375667678515			5	7	2	53	57	6	0	
OTU_67	uncultured conexibacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__solirubrobacterales;f__conexibacteraceae;g__conexibacter;s__conexibacter spp.;superkingdom__bacteria;subclass  rubrobacteridae	95.9409594095941	1.90485526735146e-120	435.898185252957			28	21	59	0	0	33	9	
OTU_68	uncultured arthrobacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__arthrobacter;s__arthrobacter spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	100	9.899761060995e-137	489.999249286293			1	14	29	45	72	0	0	
OTU_69	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.2619926199262	5.12820319074768e-134	480.982405280737			20	17	14	3	1	48	64	
OTU_70	uncultured haliangium sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__kofleriaceae;g__haliangium;s__haliangium spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__nannocystineae	99.2619926199262	5.12820319074768e-134	480.982405280737			4	29	15	22	8	34	17	
OTU_71	uncultured haliangium sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__kofleriaceae;g__haliangium;s__haliangium spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__nannocystineae	97.0479704797048	8.64802953454554e-125	450.325135661847			19	31	29	2	0	12	49	
OTU_72	uncultured gemmatimonas sp. ;k__bacteria;p__gemmatimonadetes;c__gemmatimonadetes;o__gemmatimonadales;f__gemmatimonadaceae;g__gemmatimonas;s__gemmatimonas spp.;superkingdom__bacteria	98.1751824817518	2.68954317409223e-131	471.965561275181			1	34	7	16	10	35	36	
OTU_73	methylobacterium soli ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__methylobacteriaceae;g__methylobacterium;s__methylobacterium soli;superkingdom__bacteria	99.2619926199262	6.22150749217035e-133	477.375667678515			0	24	1	58	61	12	1	
OTU_74	sphingopyxis sp. 1319 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingopyxis;s__sphingopyxis sp.;superkingdom__bacteria	99.6309963099631	4.20948551855597e-135	484.589142882959			18	27	11	11	9	31	14	
OTU_75	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	98.8929889298893	2.18056748386766e-132	475.572298877403			23	20	18	8	39	23	8	
OTU_76	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	97.4169741697417	5.85127561696698e-127	457.538610866291			31	5	26	0	0	0	37	
OTU_77	uncultured nocardioides sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardioidaceae;g__nocardioides;s__nocardioides spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__propionibacterineae	99.2619926199262	5.12820319074768e-134	480.982405280737			4	15	2	40	11	49	0	
OTU_78	uncultured thermoleophilum sp. ;k__bacteria;p__actinobacteria;c__thermoleophilia;o__thermoleophilales;f__thermoleophilaceae;g__thermoleophilum;s__thermoleophilum spp.;superkingdom__bacteria	97.7859778597786	1.66946243851828e-127	459.341979667403			23	16	39	14	19	26	4	
OTU_79	uncultured steroidobacter sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__sinobacteraceae;g__steroidobacter;s__steroidobacter spp.;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			24	4	29	0	0	0	77	
OTU_80	gq500835.1 surveys biofilms and sediments mammoth cave karst aquifers bio_sep beads containing 30% limestone one year base level cave stream mystic river clone maca_mr01  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__rhodoplanes;s__rhodoplanes spp.;superkingdom__bacteria	98.1549815498155	1.37037821968424e-128	462.948717269625			61	9	11	12	21	37	9	
OTU_81	uncultured beggiatoa sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__thiotrichales;f__thiotrichaceae;g__beggiatoa;s__beggiatoa spp.;superkingdom__bacteria	96.4705882352941	1.47055308117792e-115	419.667866042956			29	0	10	0	0	0	81	
OTU_82	uncultured adhaeribacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__adhaeribacter;s__adhaeribacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.2619926199262	5.12820319074768e-134	480.982405280737			18	17	17	8	13	6	70	
OTU_83	uncultured niastella sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__niastella;s__niastella spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	93.7269372693727	7.61765355405711e-113	410.6510220374			21	6	4	15	22	1	61	
OTU_84	ef100698.1 thermomonas dokdonensis str. ds_58  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__lysobacter;s__thermomonas dokdonensis;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			9	27	13	5	0	8	50	
OTU_85	uncultured herbaspirillum sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__herbaspirillum;s__herbaspirillum spp.;superkingdom__bacteria	99.2619926199262	5.12820319074768e-134	480.982405280737			6	15	8	58	77	15	3	
OTU_86	kribbella sp. enrichment culture clone vanctr42 ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardioidaceae;g__kribbella;s__kribbella sp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__propionibacterineae	98.9010989010989	2.65647502031241e-131	471.965561275181			15	29	6	16	15	19	2	
OTU_87	uncultured novosphingobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__novosphingobium;s__novosphingobium spp.;superkingdom__bacteria	93.3579335793358	3.22566842908015e-111	405.240915634066			0	43	0	7	15	40	0	
OTU_88	uncultured luteolibacter sp. ;k__bacteria;p__verrucomicrobia;c__verrucomicrobiae;o__verrucomicrobiales;f__verrucomicrobiaceae;g__luteolibacter;s__luteolibacter spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	98.1549815498155	1.12956192169823e-129	466.555454871847			5	20	27	87	105	14	3	
