Gene(KO)	Gene Description	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
K00094	"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase EC:1.1.1.251"	0	0	0	0.5	0	0.5	0	0	0	0	0	2	0	0.5
K00096	"araM, egsA; glycerol-1-phosphate dehydrogenase NAD(P)+ EC:1.1.1.261"	81.75	15.48611111	103.7916667	13.75	65.32142857	20.80595238	16.17261905	1.402777778	38.875	41.41666667	98.5	123.6666667	53.8452381	27.69444444
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase EC:1.1.1.262	626.2159632	1213.420743	441.8210678	736.9399531	487.3972222	718.4749278	384.1646645	1196.190639	1285.093164	1323.336905	1183.799297	1175.978716	1035.822962	1083.953568
K00098	idnD; L-idonate 5-dehydrogenase EC:1.1.1.264	70.19406566	167.0996392	64.36919192	87.57866162	39.7	75.90248918	43.57007576	49.26931818	121.9707251	183.7734127	97.16603535	73.11426768	158.0045455	182.5525253
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase EC:1.1.1.267	533.027886	933.4349567	411.8132395	627.8488456	457.9996032	655.6322511	329.9403439	797.1694084	963.5201479	1036.678608	1065.299062	1060.095653	1090.830538	889.5392827
K00100	bdhAB; butanol dehydrogenase EC:1.1.1.-	0	0.4	0	0	0	0	0	1.2	0.683333333	0	0.272727273	0	0	0.6
K00101	lldD; L-lactate dehydrogenase (cytochrome) EC:1.1.2.3	309.9750541	1054.52868	237.9710678	480.0871753	170.8619048	310.9292929	197.8074495	795.4547799	888.6836039	957.2710317	566.9326299	446.8003427	611.5049062	745.7324964
K00102	"LDHD, dld; D-lactate dehydrogenase (cytochrome) EC:1.1.2.4"	556.5468975	589.5421356	399.1411616	457.0400794	531.7984127	562.4037879	221.9838023	659.2806638	788.1063492	621.716342	982.6824675	1086.875361	941.5519481	532.4964505
K00103	GULO; L-gulonolactone oxidase EC:1.1.3.8	28.11111111	26.5	28.33333333	38.66666667	21.06666667	36.94444444	43	3	28.94444444	38.33333333	70.61111111	53.4	135.1666667	48.08333333
K00104	glcD; glycolate oxidase EC:1.1.3.15	734.8126263	968.1694805	578.1924062	787.8682179	621.7531746	751.7578463	405.783195	813.9392496	1110.734668	1024.170635	1416.453517	1401.733189	1354.372204	942.7508697
K00105	E1.1.3.21; alpha-glycerophosphate oxidase EC:1.1.3.21	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.291666667
K00106	XDH; xanthine dehydrogenase/oxidase EC:1.17.1.4 1.17.3.2	1.5	0.625	1.375	0.375	1.25	2.041666667	0.125	0	1.777777778	0.5	4.833333333	2.888888889	3.847222222	2.125
K00108	"betA, CHDH; choline dehydrogenase EC:1.1.99.1"	502.4226371	835.3428932	359.8693903	431.407233	485.5174603	760.7757035	227.104798	979.0097944	1032.423503	924.2337302	918.6432179	1032.159903	996.838474	1000.507168
K00111	"glpA, glpD; glycerol-3-phosphate dehydrogenase EC:1.1.5.3"	1083.71241	1380.506385	829.8045094	1103.305592	999.2039683	1204.970346	571.6320106	1196.128175	1568.837211	1486.838925	2076.318615	2124.308947	2204.768633	1385.827558
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B EC:1.1.5.3	3.833333333	0	6.166666667	2.833333333	3.383333333	8.291666667	0.5	0	7.486111111	2.833333333	7.111111111	14.24801587	14.16666667	3.944444444
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C EC:1.1.5.3	1.166666667	0	3.5	0.5	1.05	2.375	0.5	0	3.5	1	0.111111111	1.178571429	0.5	1.111111111
K00114	exaA; alcohol dehydrogenase (cytochrome c) EC:1.1.2.8	982.7611652	313.8636003	848.4381313	740.2054293	1138.946429	1191.22096	306.1241162	269.6313672	687.5615801	386.825	1850.534217	2212.443795	1893.443398	681.9230519
K00116	mqo; malate dehydrogenase (quinone) EC:1.1.5.4	159.4544733	584.2083694	99.93863636	199.4087662	32.01746032	87.31836219	105.8181217	718.3170274	673.6933622	690.2329726	236.8223665	135.8291847	180.9410534	489.0189866
K00117	gcd; quinoprotein glucose dehydrogenase EC:1.1.5.2	1198.252778	572.818254	969.8027778	1029.052778	1214.129365	1148.061111	481.3472222	482.5309524	936.9281746	675.0678571	2394.761111	2432.192063	2272.813492	865.9282937
K00118	gfo; glucose-fructose oxidoreductase EC:1.1.99.28	17.875	40.83333333	11.04166667	42.625	8.541666667	31.35833333	23.66666667	10.16666667	26.79166667	59.45833333	51.375	51.15	29.5	33.41666667
K00121	"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase EC:1.1.1.284 1.1.1.1"	569.9664322	1012.648846	435.6215729	666.3404582	492.0611111	743.0842352	322.3486953	980.9470599	1137.521374	1043.12904	1059.177904	1141.125253	1154.63768	1021.079506
K00122	FDH; formate dehydrogenase EC:1.17.1.9	150.925	197.7047619	168.225	130.375	110.7178571	134.5313492	62.425	48.37222222	137.5777778	157.9305556	235.6333333	243.0095238	220.040873	158.3579365
K00123	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit EC:1.17.1.9"	845.5824675	1355.051659	595.7661616	804.5265152	634.3257937	757.9248196	381.7722944	1562.692965	1693.737771	1398.340115	1526.704509	1416.212103	1587.6704	1130.132024
K00124	"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"	519.5518218	893.3318182	345.7300505	482.3281566	336.6801587	405.0256133	223.8054293	1089.767406	1136.413474	935.5464286	905.6306818	767.4130592	1047.075559	732.7798918
K00126	fdsD; formate dehydrogenase subunit delta EC:1.17.1.9	91.55021645	194.3690837	66.29419192	115.5883838	49.9952381	98.4294733	58.77979798	52.11713564	127.5737013	189.4166667	169.5646465	116.1247835	198.6148629	192.6103824
K00127	"fdoI, fdsG; formate dehydrogenase subunit gamma"	310.3587662	815.5234848	187.0856061	303.3212121	152.5904762	285.8565657	143.1679293	1057.246573	991.9497835	863.7361111	501.4542929	362.0313131	539.2346861	636.499733
K00128	ALDH; aldehyde dehydrogenase (NAD+) EC:1.2.1.3	1314.663672	2492.11039	951.0393759	1380.244805	1030.478175	1629.090891	824.3869228	2642.229257	2867.767749	2629.212446	2438.64688	2283.599711	2499.122583	2461.908803
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) EC:1.2.1.5	0.166666667	0	0	0	0	0	0	0.5	0.166666667	0	0	0.291666667	1.5	0
K00130	"betB, gbsA; betaine-aldehyde dehydrogenase EC:1.2.1.8"	92.83387446	166.6178571	96.24027778	165.3199495	81.49047619	172.2311508	128.0790584	79.33694084	159.2410173	185.4988095	237.267803	203.3600289	476.6228175	314.038431
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) EC:1.2.1.9	12.66612554	6.437301587	3.644444444	5.28030303	2.711111111	4.05952381	3.761363636	17.17117605	23.50883838	13.76868687	22.27449495	12.69765512	7.733333333	45.14817127
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) EC:1.2.1.10	181	8	138	128	221	189	57	4	72	20	348.2727273	430	301	45
K00133	asd; aspartate-semialdehyde dehydrogenase EC:1.2.1.11	675.8195527	986.11829	570.7910173	693.1321789	564.2702381	775.4465368	358.7236772	818.5944084	1080.440783	1153.336147	1300.6579	1285.880177	1393.641847	1045.334582
K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase EC:1.2.1.12"	700.3827381	1196.194481	553.9354618	792.7595058	578.3694444	789.505267	399.6443422	1101.513546	1293.516793	1442.698882	1331.592009	1342.760967	1241.598593	1232.567908
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase EC:1.2.1.16 1.2.1.79 1.2.1.20	930.4275794	2058.647294	829.9324315	1043.16167	606.4043651	831.4406926	504.7861291	1561.760768	1942.678517	2120.074639	1515.074693	1378.99329	1625.542226	1877.849445
K00137	prr; aminobutyraldehyde dehydrogenase EC:1.2.1.19	45.57142857	47.21666667	32.18333333	62.85	31.64047619	63.58373016	48.6	26.93928571	50.15119048	61.47460317	100.0666667	72.88095238	159.7	149.0042857
K00138	aldB; aldehyde dehydrogenase EC:1.2.1.-	171.9337662	512.1833694	129.7414141	253.0246032	87.32539683	208.7770924	116.5777297	354.267316	456.8588925	582.7829726	307.2963925	266.3116883	302.1801407	503.900083
K00140	"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase EC:1.2.1.18 1.2.1.27"	799.5595599	1817.484632	512.8234488	752.2914502	472.1337302	685.9384199	409.4938913	2410.783694	2286.924729	1959.415873	1301.575433	1133.088745	1344.26562	1588.158463
K00141	xylC; benzaldehyde dehydrogenase (NAD) EC:1.2.1.28	59.04027778	244.8861111	39.17777778	79.1125	11.48253968	40.01825397	30.92638889	81.29861111	131.5775794	204.9055556	52.58194444	47.87361111	55.39801587	181.7
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase EC:1.2.1.38	607.7882035	1113.215945	462.087987	710.7450577	487.2694444	712.7109307	345.2798822	855.3923521	1074.156475	1175.579365	1179.752597	1146.034921	1214.185083	1040.548994
K00146	feaB; phenylacetaldehyde dehydrogenase EC:1.2.1.39	52.84705988	83.46150794	44.575	74.74507576	54.09642857	94.60714286	59.32209596	40.19503968	74.99348846	83.36944444	139.7837121	142.6232504	286.0186508	177.231746
K00147	proA; glutamate-5-semialdehyde dehydrogenase EC:1.2.1.41	343.727381	897.6516234	252.6049062	468.2208153	240.1103175	479.0822511	245.2823353	782.8846681	880.7202922	992.6603896	686.1623377	637.1405303	748.9352994	820.1586688
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase EC:1.2.1.46	100.9891053	186.0781746	98.91388889	187.1727273	58.67539683	117.9587302	123.1239899	71.34188312	174.7518579	209.8881313	225.8722222	171.227381	362.0630952	268.0087482
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) EC:1.2.1.59	83.91666667	15.25	101.3333333	20.70833333	63.83333333	9.777777778	18.16666667	1.833333333	38.97222222	36.58333333	93.37777778	127.7638889	50.77777778	26.69444444
K00151	"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase EC:1.2.1.60"	58.8504329	161.5464286	55.81666667	89.22063492	44.6218254	70.97896825	40.21898749	44.55995671	98.00995671	127.2686508	122.890873	91.69285714	145.306746	147.0720818
K00152	nahF; salicylaldehyde dehydrogenase EC:1.2.1.65	2.666666667	12.98333333	1.916666667	2.933333333	0.2	0.2	1.333333333	4.5	5.433333333	14.25	2.5	0.666666667	1.166666667	5.933333333
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase EC:1.1.1.306	24.26666667	112.95	35.85833333	86.67777778	14.75952381	47.06190476	43.83333333	31.03333333	73.39583333	104.725	54.21111111	44.40694444	50.39880952	119.5063492
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase EC:1.2.1.68	128.1769841	301.068254	89.8797619	109.752381	116.4928571	220.1031746	56.05	289.9087302	299.5349206	335.0103175	234.6662698	264.8833333	255.2321429	345.167381
K00156	poxB; pyruvate dehydrogenase (quinone) EC:1.2.5.1	340.3190657	486.4853535	351.3025253	309.0564394	211.427381	256.9020924	187.0034091	147.2201118	390.7929473	526.3607143	564.957702	498.556728	657.4279582	458.9223665
K00158	"E1.2.3.3, poxL; pyruvate oxidase EC:1.2.3.3"	82.92929293	9.125	101	16.62121212	63	13.94444444	10.66666667	3.037878788	40.3989899	29.59090909	95.96464646	114.7929293	59.72222222	24.53950216
K00161	"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit EC:1.2.4.1"	552.9241522	951.7401154	557.905303	951.8597583	387.8738095	747.5798701	739.9638949	217.0950397	790.7197872	1143.341306	1376.717406	1069.886724	2107.593434	1121.521288
