otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	SoilDNA1	SoilDNA2	SoilDNA3	SoilDNA4
OTU_11	gordonia sp. mtr_11 ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__gordoniaceae;g__gordonia;s__gordonia sp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	97.8217821782178	0	861.493			409	2	1	3
OTU_12	crenotalea thermophila ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__crenotalea;s__crenotalea thermophila;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.6083499005964	0	874.117			141	0	0	1
OTU_13	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.0414201183432	0	847.066			430	10	1	1
OTU_14	uncultured ochromonas sp. ;k__eukaryota;p__eukaryota;c__chrysophyceae;o__chromulinales;f__chromulinaceae;g__ochromonas;s__ochromonas sp.;superkingdom__eukaryota	75.0566893424036	7.61977e-72	275.398			252	0	2	0
OTU_15	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	92.5287356321839	0	762.308			1	2	253	1
OTU_16	cp000909.1 chloroflexus aurantiacus str. j_10_fl  ;k__bacteria;p__chloroflexi;c__chloroflexia;o__chloroflexales;f__chloroflexaceae;g__chloroflexus;s__chloroflexus aurantiacus;superkingdom__bacteria;suborder__chloroflexineae	80.6772908366534	2.67534e-128	462.949			262	1	2	2
OTU_17	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.0986460348163	0	865.1			180	1	3	1
OTU_18	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.2972972972973	0	865.1			380	0	1	0
OTU_19	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	99.609375	0	915.594			3	86	64	64
OTU_20	ab075230.1 flavobacterium limicola str. st_82  ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium limicola;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.2591876208897	0	892.15			273	0	0	0
OTU_21	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	89.8272552783109	0	693.78			1	4	279	3
OTU_22	uncultured kouleothrix sp. ;k__bacteria;p__chloroflexi;c__chloroflexi;o__chloroflexi;f__chloroflexi;g__kouleothrix;s__kouleothrix spp.;superkingdom__bacteria	88.8429752066116	1.02638e-177	627.055			93	0	0	0
OTU_23	uncultured bradyrhizobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__bradyrhizobium;s__bradyrhizobium spp.;superkingdom__bacteria	98.9451476793249	0	832.639			3	36	32	92
OTU_24	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	93.9670932358318	0	830.836			3	0	210	3
OTU_25	uncultured haliscomenobacter sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__saprospiraceae;g__haliscomenobacter;s__haliscomenobacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.6460348162476	0	901.167			1	146	12	4
OTU_26	eu304279.1 pseudomonas sp. str. d2ohcj  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas umsongensis;superkingdom__bacteria	99.4263862332696	0	930.021			108	20	5	135
OTU_27	uncultured salicola sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__halomonadaceae;g__salicola;s__salicola spp.;superkingdom__bacteria	99.1683991683992	0	847.066			1	3	157	1
OTU_28	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.678916827853	0	879.527			76	0	1	0
OTU_29	luteolibacter pohnpeiensis ;k__bacteria;p__verrucomicrobia;c__verrucomicrobiae;o__verrucomicrobiales;f__verrucomicrobiaceae;g__luteolibacter;s__luteolibacter pohnpeiensis;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	97.2815533980583	0	859.69			219	3	0	2
OTU_30	flavobacterium sp. rugl6_2 ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	96.6926070038911	0	850.673			181	1	2	0
OTU_31	uncultured haliscomenobacter sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__saprospiraceae;g__haliscomenobacter;s__haliscomenobacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.800796812749	0	901.167			2	227	3	1
OTU_32	flavobacterium suncheonense ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium suncheonense;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.3987975951904	0	886.74			122	1	1	0
OTU_33	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.6833976833977	0	874.117			184	1	0	1
OTU_34	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	88.3365200764818	0	659.516			3	2	160	0
OTU_35	mycobacterium moriokaense ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__mycobacteriaceae;g__mycobacterium;s__mycobacterium moriokaense;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	98.6138613861386	0	879.527			2	2	236	4
OTU_36	flavobacterium sp. thwcsn34 ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.0544747081712	0	883.134			132	1	1	1
OTU_37	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	98.0544747081712	0	883.134			3	120	94	6
OTU_38	uncultured steroidobacter sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__sinobacteraceae;g__steroidobacter;s__steroidobacter spp.;superkingdom__bacteria	95.5938697318008	0	834.443			1	36	81	92
OTU_39	eu881111.1 karst region primary forest soil clone kpf200711_131  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__pedomicrobium;s__pedomicrobium spp.;superkingdom__bacteria	94.2796610169492	0	729.847			126	1	2	0
OTU_40	niabella sp. icm 1_15 ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__niabella;s__niabella sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	93.0693069306931	0	753.291			134	0	0	0
OTU_41	acidobacterium sp. ms_p6 ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium sp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	96.0905349794239	0	791.162			123	1	1	0
OTU_42	uncultured sphaerobacter sp. ;k__bacteria;p__chloroflexi;c__thermomicrobia;o__sphaerobacterales;f__sphaerobacteraceae;g__sphaerobacter;s__sphaerobacter spp.;superkingdom__bacteria;subclass  sphaerobacteridae;suborder__sphaerobacterineae	87.8486055776892	3.05747e-178	628.859			127	0	0	0
OTU_43	uncultured hyphomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__hyphomicrobium;s__hyphomicrobium spp.;superkingdom__bacteria	98.0132450331126	0	769.521			1	0	95	1
OTU_44	uncultured acidovorax sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__acidovorax;s__acidovorax spp.;superkingdom__bacteria	99.0403071017275	0	917.398			124	13	0	1
OTU_45	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	97.4609375	0	865.1			1	21	164	15
OTU_46	ef621760.1 acidimicrobium ferrooxidans str. th3  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__acidimicrobiales;f__acidimicrobiaceae;g__acidimicrobium;s__acidimicrobium ferrooxidans;superkingdom__bacteria;subclass  acidimicrobidae;suborder__acidimicrobineae	80.7157057654075	2.0568e-123	446.718			125	1	0	0
OTU_47	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	89.7727272727273	0	693.78			1	2	131	1
OTU_48	polyangium thaxteri ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__polyangiaceae;g__polyangium;s__polyangium thaxteri;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__sorangiineae	87.6404494382023	0	666.729			2	2	237	3
OTU_49	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	96.4749536178108	0	886.74			1	63	11	155
OTU_50	chitinophaga terrae ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__chitinophaga;s__chitinophaga terrae;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.2351816443595	0	926.414			135	0	4	0
OTU_51	uncultured hyphomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__hyphomicrobium;s__hyphomicrobium spp.;superkingdom__bacteria	98.9339019189765	0	823.622			3	13	14	86
OTU_52	uncultured flavobacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	95.1644100580271	0	820.016			127	7	3	1
OTU_53	uncultured clostridium sp. ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;s__clostridium spp.;superkingdom__bacteria	93.0501930501931	0	762.308			184	0	2	1
OTU_54	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	91.7279411764706	0	778.538			196	1	1	1
OTU_55	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.0732177263969	0	892.15			1	35	26	129
OTU_56	aj233940.1 chondromyces pediculatus str. cm p17  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__polyangiaceae;g__chondromyces;s__chondromyces pediculatus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__sorangiineae	88.2022471910112	0	673.943			1	16	93	7
OTU_57	malawimonas jakobiformis ;k__eukaryota;p__eukaryota;c__eukaryota;o__eukaryota;f__malawimonadidae;g__malawimonas;s__malawimonas jakobiformis;superkingdom__eukaryota	72.3529411764706	2.01389e-66	257.365			78	0	1	0
OTU_58	uncultured saccharibacter sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__acetobacteraceae;g__saccharibacter;s__saccharibacter spp.;superkingdom__bacteria	90.7216494845361	0	664.926			154	0	1	2
OTU_59	uncultured hyphomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__hyphomicrobium;s__hyphomicrobium spp.;superkingdom__bacteria	98.9406779661017	0	829.033			1	10	32	61
OTU_60	flavobacterium fluvii ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium fluvii;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.0328820116054	0	910.184			79	12	5	0
OTU_61	cp000909.1 chloroflexus aurantiacus str. j_10_fl  ;k__bacteria;p__chloroflexi;c__chloroflexia;o__chloroflexales;f__chloroflexaceae;g__chloroflexus;s__chloroflexus aurantiacus;superkingdom__bacteria;suborder__chloroflexineae	89.0041493775934	4.3161e-176	621.645			105	0	0	0
OTU_62	uncultured solirubrobacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__solirubrobacterales;f__solirubrobacteraceae;g__solirubrobacter;s__solirubrobacter spp.;superkingdom__bacteria;subclass  rubrobacteridae	93.8086303939963	0	816.409			0	2	109	1
OTU_63	terrimonas lutea ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__terrimonas;s__terrimonas lutea;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	96	0	852.476			134	1	1	0
OTU_64	uncultured paracraurococcus sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__acetobacteraceae;g__paracraurococcus;s__paracraurococcus spp.;superkingdom__bacteria	98.3050847457627	0	816.409			97	0	0	0
OTU_65	uncultured bradyrhizobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__bradyrhizobium;s__bradyrhizobium spp.;superkingdom__bacteria	99.57805907173	0	847.066			4	22	20	41
OTU_66	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	93.0147058823529	0	810.999			2	0	0	1
OTU_67	ohtaekwangia koreensis ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__ohtaekwangia;s__ohtaekwangia koreensis;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	89.8406374501992	0	672.139			0	123	3	0
OTU_68	uncultured phaeospirillum sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__phaeospirillum;s__phaeospirillum spp.;superkingdom__bacteria	97.0212765957447	0	785.752			78	1	0	0
OTU_69	uncultured pirellula sp. ;k__bacteria;p__planctomycetes;c__planctomycetia;o__planctomycetales;f__planctomycetaceae;g__pirellula;s__pirellula spp.;superkingdom__bacteria	98.5915492957747	0	865.1			1	2	27	54
OTU_70	uncultured rhizobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__rhizobiaceae;g__rhizobium;s__rhizobium spp.;superkingdom__bacteria	90.2439024390244	0	717.224			0	4	1	115
OTU_71	uncultured sorangium sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__polyangiaceae;g__sorangium;s__sorangium spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__sorangiineae	91.2451361867704	0	724.437			1	2	139	1
OTU_72	uncultured nitrospira sp. ;k__bacteria;p__nitrospirae;c__nitrospira;o__nitrospirales;f__nitrospiraceae;g__nitrospira;s__nitrospira spp.;superkingdom__bacteria	98.8549618320611	0	919.201			1	110	0	8
OTU_73	uncultured steroidobacter sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__sinobacteraceae;g__steroidobacter;s__steroidobacter spp.;superkingdom__bacteria	95.2290076335878	0	829.033			1	13	98	48
OTU_74	uncultured phycisphaera sp. ;k__bacteria;p__planctomycetes;c__phycisphaerae;o__phycisphaerales;f__phycisphaeraceae;g__phycisphaera;s__phycisphaera spp.;superkingdom__bacteria	87.5763747454175	1.18919e-170	603.611			101	0	0	0
OTU_75	uncultured steroidobacter sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__sinobacteraceae;g__steroidobacter;s__steroidobacter spp.;superkingdom__bacteria	93.5114503816794	0	785.752			167	1	1	3
OTU_76	acidobacterium sp. ms_p6 ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium sp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	96.9135802469136	0	809.196			106	0	0	0
OTU_77	uncultured rickettsia sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rickettsiales;f__rickettsiaceae;g__rickettsia;s__rickettsia spp.;superkingdom__bacteria;tribe__rickettsieae	78.4511784511785	7.01466e-60	235.724			126	0	0	0
OTU_78	gemmata sp. sd2_6 ;k__bacteria;p__planctomycetes;c__planctomycetia;o__planctomycetales;f__planctomycetaceae;g__gemmata;s__gemmata sp.;superkingdom__bacteria	93.0885529157667	0	677.55			112	2	5	3
OTU_79	phytophthora infestans ;k__eukaryota;p__eukaryota;c__eukaryota;o__oomycetes;f__peronosporales;g__phytophthora;s__phytophthora infestans;superkingdom__eukaryota	89.4623655913979	6.8031e-167	590.988			0	89	1	23
OTU_80	flavobacterium sp. be13(2011) ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	95.9381044487427	0	838.049			74	0	2	0
OTU_81	malawimonas jakobiformis ;k__eukaryota;p__eukaryota;c__eukaryota;o__eukaryota;f__malawimonadidae;g__malawimonas;s__malawimonas jakobiformis;superkingdom__eukaryota	72.1062618595825	9.3227e-71	271.792			303	0	1	0
OTU_82	uncultured desulfococcus sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfobacterales;f__desulfobacteraceae;g__desulfococcus;s__desulfococcus spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions	95.9919839679359	0	810.999			88	0	0	0
OTU_83	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	96.4566929133858	0	836.246			0	2	74	6
OTU_84	pseudomonadaceae bacterium enrichment culture clone  jumss254pw_30(r10) ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__perlucidibaca;s__pseudomonadaceae bacterium;superkingdom__bacteria	96.2962962962963	0	838.049			94	0	3	1
OTU_85	uncultured ochromonas sp. ;k__eukaryota;p__eukaryota;c__chrysophyceae;o__chromulinales;f__chromulinaceae;g__ochromonas;s__ochromonas sp.;superkingdom__eukaryota	74.2596810933941	3.24001e-70	269.988			102	0	1	1
OTU_86	uncultured runella sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__runella;s__runella spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	95.4545454545455	0	767.718			3	16	11	55
OTU_87	uncultured nannocystis sp. ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__nannocystaceae;g__nannocystis;s__nannocystis spp.;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__nannocystineae	97.0760233918129	0	854.28			0	1	2	81
OTU_88	uncultured geothrix sp. ;k__bacteria;p__acidobacteria;c__holophagae;o__holophagales;f__holophagaceae;g__geothrix;s__geothrix spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	97.7822580645161	0	845.263			0	18	66	65
OTU_89	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	97.6102941176471	0	922.808			0	1	86	0
OTU_90	uncultured coxiella sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__legionellales;f__coxiellaceae;g__coxiella;s__coxiella spp.;superkingdom__bacteria	94.672131147541	0	756.898			0	1	91	0
OTU_91	uncultured nitrospira sp. ;k__bacteria;p__nitrospirae;c__nitrospira;o__nitrospirales;f__nitrospiraceae;g__nitrospira;s__nitrospira spp.;superkingdom__bacteria	98.8593155893536	0	922.808			2	66	12	20
OTU_92	uncultured acidobacterium sp. ;k__bacteria;p__acidobacteria;c__acidobacteriia;o__acidobacteriales;f__acidobacteriaceae;g__acidobacterium;s__acidobacterium spp.;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	94.0298507462687	0	816.409			1	6	103	27
OTU_93	cp000383.1 cytophaga hutchinsonii str. atcc 33406  ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__cytophaga;s__cytophaga hutchinsonii;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.8886756238004	0	886.74			131	2	1	1
OTU_94	x85210.1 cytophaga sp. str. type 0092  ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium columnare;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	96.5116279069768	0	850.673			4	62	1	1
OTU_95	brevundimonas sp. mn12_16 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__caulobacterales;f__caulobacteraceae;g__brevundimonas;s__brevundimonas sp.;superkingdom__bacteria	99.3478260869565	0	816.409			68	1	1	1
OTU_96	am279214.1 pedobacter rhizospharae str. 01_96  ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__sphingobacteriaceae;g__pedobacter;s__pedobacter rhizospharae;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.1209213051823	0	868.707			109	0	0	0
OTU_97	flavobacterium fluvii ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium fluvii;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.4854932301741	0	874.117			86	0	0	0
OTU_98	uncultured nordella sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__rhizobiales;g__nordella;s__nordella spp.;superkingdom__bacteria	96.6315789473684	0	785.752			1	5	49	19
OTU_99	flavobacterium cucumis ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__flavobacterium;s__flavobacterium cucumis;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.3025048169557	0	870.51			146	0	1	0
OTU_100	uncultured pirellula sp. ;k__bacteria;p__planctomycetes;c__planctomycetia;o__planctomycetales;f__planctomycetaceae;g__pirellula;s__pirellula spp.;superkingdom__bacteria	96.3782696177062	0	809.196			0	2	54	0
OTU_101	uncultured flexibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__flexibacter;s__flexibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	90.8221797323136	0	720.83			0	1	47	1
