otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
OTU_13	aj540309.1 actinomyces graevenitzii str. ccug 27294  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__actinomycetaceae;g__actinomyces;s__actinomyces graevenitzii;superkingdom__bacteria;subclass  actinobacteridae;suborder__actinomycineae	99.63369963	3.48E-136	488.196			145	1279	14	15	484	473	0	0	17	65	33	277
OTU_14	uncultured porphyromonas sp. ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__porphyromonadaceae;g__porphyromonas;s__porphyromonas spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63369963	3.48E-136	488.196			112	28	26	340	16	20	0	2	1278	174	194	151
OTU_15	ay267192.1 pseudomonas veronii str. 16_6a  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas veronii;superkingdom__bacteria;species group  pseudomonas fluorescens group	99.26739927	4.24E-135	484.589			1	0	0	0	0	1	0	0	895	79	0	0
OTU_16	gq045971.1 topographical and temporal human skin microbiome skin volar forearm clone nbw992b09c1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pasteurellales;f__pasteurellaceae;g__haemophilus;s__haemophilus parainfluenzae;superkingdom__bacteria	99.63369963	3.48E-136	488.196			18	13	112	202	166	142	1	19	124	257	238	358
OTU_17	gq113833.1 topographical and temporal human skin microbiome skin volar forearm clone nbw636e07c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__actinomycetaceae;g__actinomyces;s__actinomyces odontolyticus;superkingdom__bacteria;subclass  actinobacteridae;suborder__actinomycineae	99.63369963	3.48E-136	488.196			80	83	30	182	273	198	0	2	68	235	162	289
OTU_18	gq103128.1 topographical and temporal human skin microbiome skin volar forearm clone nbw696e04c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__rothia;s__rothia mucilaginosa;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	97.84172662	6.00E-127	457.539			70	102	46	24	181	17	8	15	130	85	28	60
OTU_19	ay773956.1 lactobacillus paracasei 10c  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__lactobacillaceae;g__lactobacillus;s__lactobacillus paracasei;superkingdom__bacteria	98.90909091	6.30E-133	477.376			3	2	0	0	0	0	455	0	0	0	0	0
OTU_20	gq006686.1 topographical and temporal human skin microbiome skin occiput clone nbu86d10c1  ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__peptoniphilaceae;g__parvimonas;s__parvimonas micra;superkingdom__bacteria	99.63235294	1.21E-135	486.393			2	4	3	77	0	0	0	2	122	7	322	87
OTU_21	atopobium parvulum ;k__bacteria;p__actinobacteria;c__actinobacteria;o__coriobacteriales;f__coriobacteriaceae;g__atopobium;s__atopobium parvulum;superkingdom__bacteria;subclass  coriobacteridae;suborder__coriobacterineae	98.17518248	4.86E-128	461.145			36	33	2	63	303	234	0	1	14	33	27	110
OTU_22	pseudomonas sp. aazad ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas sp.;superkingdom__bacteria	98.55595668	2.23E-132	475.572			0	0	0	0	0	0	0	0	89	181	0	0
OTU_23	gq006662.1 topographical and temporal human skin microbiome skin occiput clone nbu86b09c1  ;k__bacteria;p__firmicutes;c__erysipelotrichia;o__erysipelotrichales;f__erysipelotrichaceae;g__solobacterium;s__solobacterium moorei;superkingdom__bacteria	99.26470588	1.48E-134	482.786			3	2	3	53	15	4	0	1	71	39	62	153
OTU_24	uncultured prevotella sp. ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63235294	1.21E-135	486.393			9	26	2	17	211	13	0	1	126	9	30	7
OTU_25	aj234046.1 actinomyces viscosus str. ccug 33710  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__actinomycetaceae;g__actinomyces;s__actinomyces viscosus;superkingdom__bacteria;subclass  actinobacteridae;suborder__actinomycineae	99.26739927	4.24E-135	484.589			114	95	19	76	10	18	2	53	2	17	8	15
OTU_26	gq113848.1 topographical and temporal human skin microbiome skin volar forearm clone nbw636g09c1  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__aerococcaceae;g__abiotrophia;s__abiotrophia defectiva;superkingdom__bacteria	99.26739927	4.24E-135	484.589			3	6	95	56	1	2	0	0	8	38	38	94
OTU_27	fusobacterium nucleatum subsp. null ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__fusobacterium;s__fusobacterium nucleatum;superkingdom__bacteria	99.26470588	1.48E-134	482.786			14	31	30	18	4	6	0	17	32	59	49	36
OTU_28	gq046344.1 topographical and temporal human skin microbiome skin volar forearm clone nbw996f12c1  ;k__bacteria;p__proteobacteria;c__epsilonproteobacteria;o__campylobacterales;f__campylobacteraceae;g__campylobacter;s__campylobacter concisus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions	99.63369963	3.48E-136	488.196			34	16	10	25	29	36	0	1	37	29	26	48
OTU_29	fj999941.1 brevundimonas vesicularis str. eqh12  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__caulobacterales;f__caulobacteraceae;g__brevundimonas;s__brevundimonas vesicularis;superkingdom__bacteria	99.26739927	4.24E-135	484.589			0	0	0	0	0	0	234	0	0	0	0	0
OTU_30	ab108826.1 prevotella salivae str. jcm 12084 epsa11  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella salivae;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63369963	3.48E-136	488.196			14	6	3	15	49	45	0	0	10	22	17	61
OTU_31	y15408.1 granulicatella elegans str. 2640_91  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__carnobacteriaceae;g__granulicatella;s__granulicatella elegans;superkingdom__bacteria	98.53479853	7.58E-132	473.769			1	0	233	20	45	25	0	0	97	10	100	2
OTU_32	uncultured fusobacterium sp. ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__fusobacterium;s__fusobacterium spp.;superkingdom__bacteria	99.63369963	3.48E-136	488.196			2	10	23	21	4	7	1	2	26	111	29	22
OTU_33	gq032248.1 topographical and temporal human skin microbiome skin volar forearm clone nbw904c07c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__rothia;s__rothia mucilaginosa;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	97.49103943	1.73E-127	459.342			44	93	17	15	56	7	2	2	35	31	14	14
OTU_34	uncultured streptococcus sp. ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus spp.;superkingdom__bacteria	98.17518248	1.13E-129	466.555			59	23	59	28	50	42	1	11	19	35	39	33
OTU_35	gq018974.1 topographical and temporal human skin microbiome skin umbilicus clone nbu192h10c1  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus anginosus;superkingdom__bacteria;species group  streptococcus anginosus group	99.26739927	6.27E-133	477.376			19	60	17	35	11	15	9	23	9	8	18	17
OTU_36	aj290755.2 haemophilus parainfluenzae str. hk85  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pasteurellales;f__pasteurellaceae;g__haemophilus;s__haemophilus parainfluenzae;superkingdom__bacteria	99.63369963	3.48E-136	488.196			0	0	0	4	0	1	0	0	3	3	29	80
OTU_37	uncultured leptotrichia sp. ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__leptotrichiaceae;g__leptotrichia;s__leptotrichia spp.;superkingdom__bacteria	99.63369963	3.48E-136	488.196			0	0	0	0	0	0	3	2	36	130	23	12
OTU_38	fj557620.1 survey approach assess endotracheal tube biofilms and their origins biofilm extubated endotracheal tube icu patient clone et_f_2d08  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus parasanguinis;superkingdom__bacteria	98.18181818	1.15E-129	466.555			91	136	64	48	99	64	5	33	49	37	28	43
OTU_39	gq496163.1 fusobacterium nucleatum subsp. animalis str. 708  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__fusobacterium;s__fusobacterium nucleatum;superkingdom__bacteria	95.07042254	2.28E-113	412.454			3	15	6	15	3	4	1	12	5	8	9	10
OTU_40	gq009695.1 topographical and temporal human skin microbiome skin popliteal fossa clone nbw831g11c1  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella pallens;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.26739927	4.24E-135	484.589			2	2	0	15	9	0	0	0	8	16	30	70
OTU_41	gq032248.1 topographical and temporal human skin microbiome skin volar forearm clone nbw904c07c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__rothia;s__rothia mucilaginosa;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	96.4664311	1.35E-122	443.112			25	12	4	4	11	1	0	1	6	3	7	2
OTU_42	uncultured prevotella sp. ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63235294	1.21E-135	486.393			0	0	10	16	17	9	0	0	13	9	70	3
OTU_43	gq032248.1 topographical and temporal human skin microbiome skin volar forearm clone nbw904c07c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__rothia;s__rothia mucilaginosa;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	97.06959707	2.96E-118	428.685			85	2	1	1	1	3	7	7	5	8	4	5
OTU_44	gq057604.1 topographical and temporal human skin microbiome skin antecubital fossa clone nbw1066a06c1  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella histicola;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.50746269	1.14E-129	466.555			5	4	2	19	64	69	0	0	2	2	7	25
OTU_45	gq102759.1 topographical and temporal human skin microbiome skin volar forearm clone nbw695h04c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__corynebacteriaceae;g__corynebacterium;s__corynebacterium matruchotii;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	99.6350365	1.00E-136	489.999			38	29	11	17	1	5	0	2	3	7	9	11
OTU_46	ef108444.1 veillonella sp. str. nvg 05cf  ;k__bacteria;p__firmicutes;c__negativicutes;o__selenomonadales;f__veillonellaceae;g__veillonella;s__veillonella parvula;superkingdom__bacteria	98.90909091	2.70E-131	471.966			10	18	2	10	3	13	0	1	19	20	13	86
OTU_47	gq042461.1 topographical and temporal human skin microbiome skin nare clone nbw940e10c1  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__porphyromonadaceae;g__porphyromonas;s__porphyromonas endodontalis;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63369963	3.48E-136	488.196			4	4	13	28	0	0	0	10	7	18	15	29
OTU_48	megasphaera micronuciformis ;k__bacteria;p__firmicutes;c__negativicutes;o__selenomonadales;f__veillonellaceae;g__megasphaera;s__megasphaera micronuciformis;superkingdom__bacteria	98.90510949	6.33E-133	477.376			3	26	0	0	32	60	1	0	0	0	2	0
OTU_49	gq076020.1 topographical and temporal human skin microbiome skin volar forearm clone nbw225d03c1  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella nanceiensis;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63369963	3.48E-136	488.196			0	0	1	72	0	0	0	0	25	4	8	12
OTU_50	streptococcus sp. oral clone ascd01 ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sp.;superkingdom__bacteria	98.88888889	1.06E-83	313.269			12	3	6	1	3	10	0	0	4	7	2	1
OTU_51	fn555393.1 rhodococcus qingshengii 79049_3  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardiaceae;g__rhodococcus;s__rhodococcus qingshengii;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	99.63369963	3.48E-136	488.196			0	0	0	0	0	0	42	72	0	1	0	0
OTU_52	uncultured streptococcus sp. ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus spp.;superkingdom__bacteria	98.54014599	9.35E-131	470.162			298	108	371	211	255	370	17	86	193	202	330	176
OTU_53	eu460895.1 short_beaked echidna feces clone ech_aai40b07  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__lactobacillaceae;g__lactobacillus;s__lactobacillus fermentum;superkingdom__bacteria	99.26739927	4.24E-135	484.589			0	0	0	0	0	0	110	0	0	0	0	0
OTU_54	eu469738.1 flying fox feces clone ff_h07_1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas fragi;superkingdom__bacteria;species group  pseudomonas chlororaphis group	98.54014599	7.67E-132	473.769			0	0	0	0	0	0	0	0	327	5	0	0
OTU_55	x71856.1 clostridium cellobioparum str. dsm 1351  ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__ruminococcaceae;g__ruminiclostridium;s__clostridium cellobioparum;superkingdom__bacteria	88.68613139	6.34E-95	351.14			0	0	10	23	0	2	0	0	5	34	16	16
OTU_56	streptococcus sinensis ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sinensis;superkingdom__bacteria	98.86363636	2.43E-125	452.129			52	27	43	33	46	60	3	15	36	31	36	30
OTU_57	fj558414.1 survey approach assess endotracheal tube biofilms and their origins biofilm extubated endotracheal tube icu patient clone et_e_3b05  ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__lachnospiraceae;g__oribacterium;s__oribacterium sinus;superkingdom__bacteria	99.26739927	4.24E-135	484.589			11	4	1	4	0	0	0	1	12	37	9	20
OTU_58	ay880045.1 scardovia sp. t01_04  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__bifidobacteriales;f__bifidobacteriaceae;g__scardovia;s__scardovia inopinata;superkingdom__bacteria;subclass  actinobacteridae	98.16176471	3.25E-130	468.359			20	28	2	16	6	15	0	1	5	1	2	8
OTU_59	uncultured leptotrichia sp. ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__leptotrichiaceae;g__leptotrichia;s__leptotrichia spp.;superkingdom__bacteria	99.26739927	4.24E-135	484.589			16	26	27	8	1	5	0	15	2	7	5	0
OTU_60	bergeyella sp. oral taxon 322 ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__bergeyella;s__bergeyella sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.63369963	3.48E-136	488.196			0	2	2	7	1	1	0	0	29	26	16	8
OTU_61	gq052901.1 topographical and temporal human skin microbiome skin volar forearm clone nbw1076a11c1  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella histicola;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	97.43589744	2.99E-124	448.522			97	76	4	118	735	977	0	0	10	22	46	98
OTU_62	am157441.1 streptococcus parasanguinis mother v4  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus parasanguinis;superkingdom__bacteria	99.23954373	1.65E-127	459.342			65	67	32	18	77	25	1	12	13	16	21	31
OTU_63	gq073305.1 topographical and temporal human skin microbiome skin palm clone nbw207e04c1  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus salivarius;superkingdom__bacteria	99.26739927	6.27E-133	477.376			31	16	27	3	66	151	21	74	4	16	14	12
OTU_64	ay053478.1 gas hydrate clone at425_euba4  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__lautropia;s__lautropia spp.;superkingdom__bacteria	99.26739927	4.24E-135	484.589			5	1	4	5	1	0	0	5	5	21	6	35
OTU_65	streptococcus sp. oral taxon 058 ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sp.;superkingdom__bacteria	96.96969697	2.58E-85	318.679			6	6	17	6	11	10	1	2	5	2	4	2
OTU_66	delftia tsuruhatensis ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__delftia;s__delftia tsuruhatensis;superkingdom__bacteria	99.63369963	3.48E-136	488.196			0	0	0	0	0	0	99	0	0	0	0	0
OTU_67	uncultured streptococcus sp. ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus spp.;superkingdom__bacteria	98.89705882	9.27E-131	470.162			372	162	595	296	340	401	10	86	236	293	447	328
OTU_68	af239848.2 bradyrhizobium japonicum str. pry65  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__bradyrhizobium;s__bradyrhizobium japonicum;superkingdom__bacteria	98	2.59E-118	428.685			0	0	0	0	0	0	161	0	0	0	0	0
OTU_69	gq070565.1 topographical and temporal human skin microbiome skin volar forearm clone nbw235g11c1  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__lactococcus;s__lactococcus lactis;superkingdom__bacteria	99.63235294	1.21E-135	486.393			0	4	0	0	0	0	54	19	0	0	0	0
OTU_70	fj557620.1 survey approach assess endotracheal tube biofilms and their origins biofilm extubated endotracheal tube icu patient clone et_f_2d08  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus parasanguinis;superkingdom__bacteria	97.81021898	4.82E-128	461.145			94	141	21	36	91	52	3	19	25	17	17	29
OTU_71	uncultured eubacterium sp. ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__eubacteriaceae;g__eubacterium;s__eubacterium spp.;superkingdom__bacteria	99.63369963	3.48E-136	488.196			11	14	0	0	2	0	0	1	9	8	18	13
OTU_72	gq496163.1 fusobacterium nucleatum subsp. animalis str. 708  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__fusobacterium;s__fusobacterium nucleatum;superkingdom__bacteria	97.82608696	7.25E-126	453.932			4	6	1	5	0	2	0	10	6	14	16	7
OTU_73	gq032248.1 topographical and temporal human skin microbiome skin volar forearm clone nbw904c07c1  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__rothia;s__rothia mucilaginosa;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	96.02888087	1.25E-116	423.275			90	3	0	0	0	4	4	6	13	9	6	11
OTU_74	dq160208.1 peptostreptococcus stomatis str. w2278  ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__peptostreptococcaceae;g__peptostreptococcus;s__peptostreptococcus stomatis;superkingdom__bacteria	99.26470588	1.48E-134	482.786			0	1	0	0	2	0	0	0	6	2	10	41
OTU_75	gq101434.1 topographical and temporal human skin microbiome skin umbilicus clone nbw495a10c1  ;k__bacteria;p__firmicutes;c__negativicutes;o__selenomonadales;f__veillonellaceae;g__dialister;s__dialister invisus;superkingdom__bacteria	99.63235294	1.21E-135	486.393			6	6	2	10	3	14	1	2	2	8	4	15
OTU_76	ay323525.1 prevotella melaninogenica str. atcc 25845  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella melaninogenica;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.50187266	6.05E-127	457.539			6	2	1	26	76	11	0	0	2	16	12	31
OTU_77	lachnoanaerobaculum saburreum ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__lachnospiraceae;g__lachnoanaerobaculum;s__lachnoanaerobaculum saburreum;superkingdom__bacteria	99.63369963	3.48E-136	488.196			12	3	7	5	10	9	0	0	8	8	2	4
OTU_78	gq113845.1 topographical and temporal human skin microbiome skin volar forearm clone nbw636g06c1  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__prevotellaceae;g__prevotella;s__prevotella nigrescens;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.26739927	4.24E-135	484.589			1	4	9	16	3	10	0	1	4	11	6	6
OTU_79	uncultured haemophilus sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pasteurellales;f__pasteurellaceae;g__haemophilus;s__haemophilus spp.;superkingdom__bacteria	98.19494585	3.32E-130	468.359			0	0	1	12	3	2	0	0	8	7	32	2
OTU_80	ay236502.1 serratia fonticola utad54  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacteriales;f__enterobacteriaceae;g__serratia;s__serratia fonticola;superkingdom__bacteria	99.63369963	3.48E-136	488.196			2	1	0	0	0	1	0	0	65	0	0	0
OTU_81	granulicatella sp. oral clone ascb09 ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__carnobacteriaceae;g__granulicatella;s__granulicatella sp.;superkingdom__bacteria	98.54014599	1.12E-129	467.457			8	5	993	74	263	125	1	1	456	77	502	7
OTU_82	uncultured treponema sp. ;k__bacteria;p__spirochaetes;c__spirochaetia;o__spirochaetales;f__spirochaetaceae;g__treponema;s__treponema spp.;superkingdom__bacteria	99.26739927	4.24E-135	484.589			1	2	6	40	1	1	0	2	9	12	8	12
OTU_83	fj859687.2 ochrobactrum pseudogrignonense str. bihb 340  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__brucellaceae;g__ochrobactrum;s__ochrobactrum pseudogrignonense;superkingdom__bacteria	99.63369963	3.48E-136	489.098			0	0	0	0	0	0	63	0	0	0	0	0
OTU_84	chryseobacterium sp. kk_21_3 ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__chryseobacterium;s__chryseobacterium sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.88059701	4.14E-129	464.752			0	0	0	0	0	0	5	39	0	0	0	0
OTU_85	dq174156.1 campylobacter showae str. ccug 11641  ;k__bacteria;p__proteobacteria;c__epsilonproteobacteria;o__campylobacterales;f__campylobacteraceae;g__campylobacter;s__campylobacter showae;superkingdom__bacteria;subphylum__delta/epsilon subdivisions	99.26739927	4.24E-135	484.589			8	6	2	3	1	0	0	28	1	2	1	9
OTU_86	streptococcus sp. oral taxon 058 ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sp.;superkingdom__bacteria	98.18181818	1.15E-129	467.457			10	4	12	5	6	5	1	2	12	13	14	7
